"Year","Author","Title","Publication","DOI","Noymeir","Salaetal","IntroductionOrReview","Methods","Results","Discussion","Continent","Approach","Plant types","Type","ITE Results","ITE = Woody plants","Supports ITE","Investigation"
2010,"Kochendorfer, J. P.; Ramirez, J. A.","Ecohydrologic controls on vegetation density and evapotranspiration partitioning across the climatic gradients of the central United States","Hydrology and Earth System Sciences","10.5194/hess-14-2121-2010",0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2010,"Kochendorfer, J. P.; Ramirez, J. A.","Modeling the monthly mean soil-water balance with a statistical-dynamical ecohydrology model as coupled to a two-component canopy model","Hydrology and Earth System Sciences","10.5194/hess-14-2099-2010",1,1,1,0,1,1,"North America","Compared soil water balance at two sites and across soil textures.","grasses","modeling","Greater leaf area index on coarse- than fine-textured soils at both sites as a result of decreased evaporation and increased transpiration at coarse sites.","No","Yes","Yes"
2010,"Rao, Leela E.; Allen, Edith B.; Meixner, Thomas","Risk-êbased determination of critical nitrogen deposition loads for fire spread in southern California deserts","Ecological Applications","10.1890/09-0398.1",1,0,0,0,0,1,"North America","Compared productivity along precipitation, soil, and nitrogen deposition gradients.","trees, shrubs, grasses","modeling","Productivity was more responsive to nitrogen inputs on coarse- than fine-textured soils.","No","Yes","No"
2010,"Robinson, David A.; Lebron, Inma; Querejeta, Jose Ignacio","Determining Soil-Tree-Grass Relationships in a California Oak Savanna Using Eco-êGeophysics","Vadose Zone Journal","10.2136/vzj2009.0041",1,0,0,0,0,1,"North America","Compared electrical conductivity (related to soil texture, moisture, and depth) across soil types and landscape positions.","trees, grass","field study","Conductivity was lowest on tree-dominated soils (indicating less water and coarser-textured shallow soils) and highest at sites with grass and no trees (indicating higher water content and finer-textured shallow soils).","Yes","Yes","No"
2010,"Wevill, Tricia; Read, Jennifer","Fine-scale patterns in the distribution of semi-arid tree species at Wyperfeld National Park, southeastern Australia-The potential roles of resource gradients vs disturbance","Journal of arid environments","10.1016/j.jaridenv.2009.10.009",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2010,"Winter, Stephen L.","The interaction of fire and grazing in Oklahoma Artemisia filifolia shrubland","",NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2010,"Zou, Ting; Li, Yan; Xu, Hao; Xu, Gui-Qing","Responses to precipitation treatment for Haloxylon ammodendron growing on contrasting textured soils","Ecological Research","10.1007/s11284-009-0642-1",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2011,"Geldenhuys, Conrad","A functional analysis of the response of the Southern Kalahari dune vegetation to land-use intensity","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2011,"Kacimov, A. R.","Simulation of Darcian evaporation through a heterogeneous soil layer","Proceedings of the International Conference on Scientific Computing (CSC)",NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2011,"McCallum, Kimberly C.","Regeneration in a changing climate: Modeling and experimental investigations of Pinus edulis recruitment","",NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2011,"Werner, Corey M.; Mason, Joseph A.; Hanson, Paul R.","Non-linear connections between dune activity and climate in the High Plains, Kansas and Oklahoma, USA","Quaternary Research","10.1016/j.yqres.2010.11.006",1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2012,"Barkae, Erez David; Scharf, Inon; Abramsky, Zvika; Ovadia, Ofer","Jack of all trades, master of all: a positive association between habitat niche breadth and foraging performance in pit-building antlion larvae","PLoS One","10.1371/journal.pone.0050884",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2012,"Bowker, M. A.; Munoz, A.; Martinez, T.; Lau, M. K.","Rare drought-induced mortality of juniper is enhanced by edaphic stressors and influenced by stand density","Journal of arid environments","10.1016/j.jaridenv.2011.10.005",1,0,0,0,0,1,"North America","Investigated relative importance of competition, soil texture, and heat load on drought-induced tree mortality between woodland and grasland sites.","trees","field study","Drought-induced tree mortality was greater and tree density was lower on fine- than on coarse-textured soils.","No","Yes","No"
2012,"Cabello, J.; Alcaraz-Segura, D.; Ferrero, R.; Castro, A. J.; Liras, E.","The role of vegetation and lithology in the spatial and inter-annual response of EVI to climate in drylands of Southeastern Spain","Journal of Arid Environments","10.1016/j.jaridenv.2011.12.006",1,1,0,0,0,1,"Europe","Evaluated environmental controls on vegetation.","all","remote sensing","Vegetation on sandstone bedrock was most sensitive to MAP, but did not exhibit higher vegetation greeness than other substrates. Authors suggest that ITE does not hold for Mediterranean climate because evaporation is less important to water balance.","No","Mixed","No"
2012,"Dev, Laura; Klein, Julia; Brown, Cynthia; Blumenthal, Dana; Hobbs, N. Thompson","Timing is Important: Seasonality of Precipitation Influences Ecosystem Properties and Response to Grazing","",NA,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2012,"Fensham, R. J.; Fairfax, R. J.; Dwyer, J. M.","Potential aboveground biomass in drought-prone forest used for rangeland pastoralism","Ecological Applications","10.1890/11-1123.1",1,0,0,0,0,1,"Australia","Compared drought-induced tree mortality across climate and soil gradients.","trees","field study","Tree mortality was negatively related to sand content.","No","Yes","No"
2012,"Looney, Christopher E.; Sullivan, Benjamin W.; Kolb, Thomas E.; Kane, Jeffrey M.; Hart, Stephen C.","Pinyon pine (Pinus edulis) mortality and response to water addition across a three million year substrate age gradient in northern Arizona, USA","Plant and Soil","10.1007/s11104-012-1150-6",1,1,1,0,0,1,"North America","Compared water stress and tree mortality across soil types with MAP 336 mm.","trees","field study","Tree density was higher on finer-textured soils. Watering decreased water stress at coarsest site and increased water stress at finer sites. Mortality and water stress were highest at intermediate textured site.","No","Mixed","No"
2012,"Luther-Mosebach, Jona; Dengler, Jurgen; Schmiedel, Ute; Rower, Inga Ute; Labitzky, Timo; Grongroft, Alexander","A first formal classification of the Hardeveld vegetation in Namaqualand, South Africa","Applied Vegetation Science","10.1111/j.1654-109X.2011.01173.x",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2012,"Rotkopf, Ron; Barkae, Erez David; Bar-Hanin, Einav; Alcalay, Yehonatan; Ovadia, Ofer","Multi-axis niche examination of ecological specialization: responses to heat, desiccation and starvation stress in two species of pit-building antlions","PLoS One","10.1371/journal.pone.0050884",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2012,"Ruppert, Jan C.; Holm, Alexander; Miehe, Sabine; Muldavin, Esteban; Snyman, Hennie A.; Wesche, Karsten; Linst√§dter, Anja","Meta-êanalysis of ANPP and rain-êuse efficiency confirms indicative value for degradation and supports non-êlinear response along precipitation gradients in drylands","Journal of Vegetation Science","10.1111/j.1654-1103.2012.01420.x",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,"Yes","No"
2012,"Sivandran, Gajan; Bras, Rafael L.","Identifying the optimal spatially and temporally invariant root distribution for a semiarid environment","Water Resources Research","10.1029/2012WR012055",0,1,0,0,0,1,"North America","Modeled optimal rooting profiles across five soil textures and two plant fuctional types.","shrubs, grasses","modeling","Deeper roots on coarse-textured soils, with lower evaporation and higher transpiration.","No","Yes","No"
2012,"Stark, Brian Jameson","Assessing Eolian Dust Inputs to Soils in Dry Creek Experimental Watershed, SW Idaho","",NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Chamizo, Sonia; Canton, Yolanda; Lazaro, Roberto; Domingo, Francisco","The role of biological soil crusts in soil moisture dynamics in two semiarid ecosystems with contrasting soil textures","Journal of Hydrology","10.1016/j.jhydrol.2013.02.051",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Hall, Sharon J.; Trujillo, Jolene; Nakase, Dana; Strawhacker, Colleen; Kruse-Peeples, Melissa; Schaafsma, Hoski; Briggs, John","Legacies of prehistoric agricultural practices within plant and soil properties across an arid ecosystem","Ecosystems","10.1007/s10021-013-9681-0",1,1,1,0,0,1,"North America","Compared soil and plant communities between areas that were enriched with silt from prehistoric farming practices to surrounding areas.","shrubs, forbs","field study","Perennial plants supported ITE, but annuals did not--they discuss that annuals may be in a ""wet"" part of a moisture gradient given that they use water during a specific time of year that is wet.","No","Mixed","No"
2013,"Martin, J.; Lopez, P.; Garcia, L. V.","Soil characteristics determine microhabitat selection of the fossorial amphisbaenian Trogonophis wiegmanni","Journal of Zoology","10.1111/jzo.12033",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Nano, Catherine E. M.; Pavey, Chris R.","Refining the ""pulse-reserve"" model for arid central Australia: Seasonal rainfall, soil moisture and plant productivity in sand ridge and stony plain habitats of the Simpson Desert","Austral Ecology","10.1111/aec.12036",1,0,1,0,0,1,"Australia","Sampled plant abundance and diversity before and after rainfall pulses on sand ridges and adjacent fine-textured soils.","shrubs, grasses, forbs","field study","Sand ridges had higher plant abundance and diversity of species over time, but grasses preferred adjacent fine-textured soils. Plant phenology and antecedent soil moisture conditions determined which pulses plants responded to.","Yes","Yes","Yes"
2013,"Roskin, Joel; Katra, Itzhak; Blumberg, Dan G.","Late Holocene dune mobilizations in the northwestern Negev dunefield, Israel: A response to combined anthropogenic activity and short-term intensified windiness","Quaternary International","10.1016/j.quaint.2012.10.034",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Rotkopf, Ron; Alcalay, Yehonatan; Bar-Hanin, Einav; Barkae, Erez David; Ovadia, Ofer","Slow growth improves compensation ability: examining growth rate and starvation endurance in pit-building antlions from semi-arid and hyper-arid regions","Evolutionary Ecology","10.1007/s10682-013-9644-0",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Ruoss, Sacha B.","Restoration ecology of rare shallow-soil endemic flora from a semi-arid biodiversity hotspot","",NA,1,1,0,0,0,1,"Australia","Planted three shallow-soil endemic species on four different restoration substrates with different soil textures and gravel contents.","shrubs, sedge","field study","Survival and plant health was generally greater on more clay-rich soils, which also had higher gravel content.","No","No","No"
2013,"Siegal, Zehava; Tsoar, Haim; Karnieli, Arnon","Effects of prolonged drought on the vegetation cover of sand dunes in the NW Negev Desert: field survey, remote sensing and conceptual modeling","Aeolian Research","10.1016/j.aeolia.2013.02.002",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2013,"Travers, Samantha K.; Eldridge, David J.","Increased rainfall frequency triggers an increase in litter fall rates of reproductive structures in an arid eucalypt woodland","Austral Ecology","10.1111/aec.12055",1,0,1,0,0,1,"Australia","Compared litterfall of reproductive structures between dune (coarse) and swale (fine) sites over multiple years.","shrubs, trees","field study","Litterfall of reproductive structures was greater on fine- than coarse-textured soils in both wet and dry years.","No","No","No"
2014,"Alcalay, Yehonatan; Ovadia, Ofer; Scharf, Inon","Behavioral repeatability and personality in pit-building antlion larvae under differing environmental contexts","Behavioral Ecology and Sociobiology","10.1007/s00265-014-1804-x",1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2014,"Barkae, Erez David; Abramsky, Zvika; Ovadia, Ofer","Can models of density-dependent habitat selection be applied for trap-building predators?","Population Ecology","10.1007/s10144-013-0401-6",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2014,"Strohbach, Ben J.; Kutuahuripa, Josephat T.","Vegetation of the eastern communal conservancies in Namibia: II. Environmental drivers","Koedoe","10.4102/koedoe.v56i1.1117",1,0,1,0,0,1,"Africa","Compared environmental characteristics across abrupt vegetation transition.","all","field study","The vegetation transition included a transition from shallower to deeper roots and was associated with a transit from loamy to sandy soils.","No","Yes","No"
2014,"Thomey, Michell L.; Collins, Scott L.; Friggens, Michael T.; Brown, Renee F.; Pockman, William T.","Effects of monsoon precipitation variability on the physiological response of two dominant C4 grasses across a semiarid ecotone","Oecologia","10.1007/s00442-014-3052-1",1,1,0,0,0,1,"North America","Compared soil water and plant physiological responses between plant communities and for to two different monsoon rainfall regimes: frequent small (10 mm) events versus infrequent large (30 mm) events.","grasses","field study","Soil water increased at 15 cm depth following smaller rainfall events on coarse- but not fine-textured soil and increased on all soils following larger events.","No","Yes","No"
2015,"Blumler, Mark A.","Deciduous Woodlands in Mediterranean California","Warm-Temperate Deciduous Forests around the Northern Hemisphere","10.1007/978-3-319-01261-2_2",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2015,"Bork, Edward W.; Irving, Barry D.","Seasonal availability of cool-and warm-season herbage in the northern mixed prairie","Rangelands","10.1016/j.rala.2015.07.002",1,1,1,0,0,1,"North America","Compared relative contribution of C3 and C4 grasses and forbs to production between a sandy and a loamy site.","grasses, forbs","field study","Annual production was similar between soil textures but plant community composition (C3 grass, C4 grass, forbs) varied.","No","Mixed","No"
2015,"Fensham, Roderick J.; Butler, Don W.; Foley, Jenny","How does clay constrain woody biomass in drylands?","Global Ecology and Biogeography","10.1111/geb.12319",1,0,1,0,1,1,"Australia","Compared tree cover on different soil types and along gradients of aridity; compared drought-induced tree mortality between pairs of sites with contrasting soil textures.","trees","remote sensing, field study","Soil clay content determined tree biomass in general, and tree mortality during drought. Crossover points depend on potential evapotranspiration (PET): higher PET means higher crossover point.","Yes","Yes","Yes"
2015,"Field, John L.","Towards the systematic identification of low-cost ecosystem-mediated carbon sequestration opportunities in bioenergy supply chains","","",1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,"No"
2015,"Hoover, David L.; Duniway, Michael C.; Belnap, Jayne","Pulse-drought atop press-drought: unexpected plant responses and implications for dryland ecosystems","Oecologia","10.1007/s00442-015-3414-3",1,1,1,0,0,1,"North America","Compared plant cover and drought response across sites with different soil textures.","shrubs, grasses","field study","Plant cover was higher on sandy soils but there was no evidence of ITE during drought events.","No","Mixed","Yes"
2015,"Sala, Osvaldo E.; Gherardi, Laureano A.; Peters, Debra P. C.","Enhanced precipitation variability effects on water losses and ecosystem functioning: differential response of arid and mesic regions","Climatic Change","10.1007/s10584-015-1389-z",0,1,0,0,0,1,"North America","Evaluated the effects of intra- and inter-annual variability of precipitation on grassland vegetation.","all","modeling","At dry sites, increased precipitation variability (larger events) decreased evaporation and increased the depth of soil water and transpiration, while at wetter sites, it resulted in more drainage, little change to evaporation, and a decrease in transpiration.","No","Yes","No"
2015,"Shepard, Christopher; Schaap, Marcel G.; Crimmins, Michael A.; van Leeuwen, Willem JD; Rasmussen, Craig","Subsurface soil textural control of aboveground productivity in the US Desert Southwest","Geoderma Regional","10.1016/j.geodrs.2014.12.003",1,0,0,0,0,1,"North America","Compared above ground productivity across climate and soil gradients.","all","remote sensing","Coarse-textured soil promotes productivity in the Mojave by reducing evaporation in the summer, while coarse-textured soil in the Sonoran limited productivity due to higher MAP and bimodal precipitation.","No","Yes","No"
2015,"Xu, Xiaoming; Li, Dejun; Luo, Yiqi","Modeled ecosystem responses to intra-annual redistribution and levels of precipitation in a prairie grassland","Ecological Modelling","10.1016/j.ecolmodel.2014.11.010",1,1,0,0,0,1,"North America","Compared ecosystem and soil water response to increased, decreased, and intra-annually redistributed precipitation across five soil textures.","all","modeling","NPP was highest on intermediate-textured soils (loam) for all scenarios, but was greater on sand than clay loam for all scenarios except non-redistributed high precipitation (1.5 x ambient). These differences were due to a direct tradeoff between drainage and evapotranspiration.","No","Yes","No"
2016,"Beal, Lakin K.; Huber, David P.; Godsey, Sarah E.; Nawotniak, Shannon K.; Lohse, Kathleen A.","Controls on ecohydrologic properties in desert ecosystems: Differences in soil age and volcanic morphology","Geoderma","10.1016/j.geoderma.2016.01.030",1,0,0,0,0,1,"North America","Compared soil development, hydrologic properties, and plant communities between young and old sites of two different volcanic parent materials.","all","field study","Higher cover of vegetation in general, including trees, on deeper, coarser soils where water infiltrates deeper.","Yes","Yes","No"
2016,"Coble, Ashley A.; Hart, Stephen C.","No evidence of resource limitation to aboveground growth of blue grama (Bouteloua gracilis) on 1 ky-old semi-arid substrate","Biogeochemistry","10.1007/s10533-016-0268-7",1,0,0,0,0,1,"North America","Compared grass (blue gramma) cover and productivity across a combined soil age and texture gradient with nutrient and water addition treatments.","grass","field study","Although cover was lower on coarse- than fine-textured soils, ANPP was greater, indicating taller but sparser plants, providing partial support for the ITE.","No","Mixed","No"
2016,"Fick, Stephen E.; Decker, Cheryl; Duniway, Michael C.; Miller, Mark E.","Small-êscale barriers mitigate desertification processes and enhance plant recruitment in a degraded semiarid grassland","Ecosphere","10.1002/ecs2.1354",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2016,"Gamoun, Mouldi","Rain Use Efficiency, Primary Production and Rainfall Relationships in Desert Rangelands of Tunisia","Land Degradation & Development","10.1002/ldr.2418",1,1,0,0,0,1,"Africa","Compared ANPP and rain use efficiency over a 10-year period across soil types.","all","field study","ANPP was higher and rainfall was more effective on coarser-textured soils.","No","Yes","No"
2016,"Glenn, Edward P.; Jarchow, Christopher J.; Waugh, W. Joseph","Evapotranspiration dynamics and effects on groundwater recharge and discharge at an arid waste disposal site","Journal of Arid Environments","10.1016/j.jaridenv.2016.05.003",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2016,"Moxham, Claire; Dorrough, Josh; Bramwell, Mick; Farmilo, Brad J.","Fire exclusion and soil texture interact to influence temperate grassland flora in south-eastern Australia","Australian Journal of Botany","10.1071/bt16056",0,1,0,0,0,1,"Australia","Compared cover and richness of plant species between burned and unburned plots with different soil textures.","all","field study","Grass cover ws higher on fine- than coarse-textured soils.","No","No","No"
2016,"Spielmann, Katherine A.; Hall, Sharon J.; Kruse-Peeples, Melissa R.; Nakase, Dana K.; Trujillo, Jolene E.","Soil Texture and Agricultural Resilience in the Prehistoric Southwest","Viewing the future in the past","10.2307/j.ctv6sj807",0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2016,"Tietjen, Britta","Same rainfall amount different vegetation-How environmental conditions and their interactions influence savanna dynamics","Ecological Modelling","10.1016/j.ecolmodel.2015.12.028",1,1,0,0,0,1,"Africa","Compared water availability and vegetation cover across soil textures, slopes, and gradients of precipitation and rainfal variability.","all","modeling","Water availability was higher on coarse- than fine-textured soils. Shrub cover was highest on finest-textured soil at lowest precipitation, but was highest on coarsest-textured soil for all other precipitation levels. Grass cover was similar, but there was no difference between textures at the highest precipitation level.","No","Mixed","No"
2016,"Travers, Samantha K.; Eldridge, David J.","Does litter decomposition vary between the foraging pits of two soil-êdisturbing mammal species?","Earth Surface Processes and Landforms","10.1002/esp.3892",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2016,"Yang, Xuebin; Crews, Kelley A.; Yan, Bowei","Analysis of the pattern of potential woody cover in Texas savanna","International journal of applied earth observation and geoinformation","10.1016/j.jag.2016.07.021",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2017,"Augustine, David J.; Derner, Justin D.; Milchunas, Daniel; Blumenthal, Dana; Porensky, Lauren M.","Grazing moderates increases in C3 grass abundance over seven decades across a soil texture gradient in shortgrass steppe","Journal of Vegetation Science","10.1111/jvs.12508",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2017,"Huber, David P.","Precipitation Timing and Control Volumes Regulate Carbon and Nutrient Cycling in Cold Desert Soils","",NA,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2017,"Maynard, Jonathan J.; Levi, Matthew R.","Hyper-temporal remote sensing for digital soil mapping: Characterizing soil-vegetation response to climatic variability","Geoderma","10.1016/j.geoderma.2016.09.024",0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2018,"Blumler, Mark A.","What Is the ""True"" Mediterranean-Type Vegetation?","Geographical Changes in Vegetation and Plant Functional Types","10.1007/978-3-319-68738-4_6",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2018,"Eldridge, David J.; Delgado-Baquerizo, Manuel; Travers, Samantha K.; Val, James; Oliver, Ian; Dorrough, Josh W.; Soliveres, Santiago","Livestock activity increases exotic plant richness, but wildlife increases native richness, with stronger effects under low productivity","Journal of Applied Ecology","10.1111/1365-2664.12995",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2018,"Havrilla, Caroline A.; Barger, Nichole N.","Biocrusts and their disturbance mediate the recruitment of native and exotic grasses from a hot desert ecosystem","Ecosphere","10.1002/ecs2.2361",1,0,0,0,0,1,"North America","Compared emergence, survival, growth, and performance of different grass species on two biocrust types and two soil types.","grass","greenhouse","Seedling growth and survival was higher on sandy than silty soil.","No","Yes","No"
2018,"Pornaro, Cristina; Vincenzi, Valentina; Furin, Stefano; Fazzini, Massimiliano; Minarelli, Luca; Macolino, Stefano","Seasonal changes in dry matter yield from Karst pastures as influenced by morphoclimatic features","Plos one","10.1371/journal.pone.0204092",0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2018,"Sanaei, Anvar; Chahouki, Mohammad Ali Zare; Ali, Arshad; Jafari, Mohammad; Azarnivand, Hossein","Abiotic and biotic drivers of aboveground biomass in semi-steppe rangelands","Science of the Total Environment","10.1016/j.scitotenv.2017.10.010",1,1,1,0,0,1,"Asia","Evaluated relationships of above ground biomass with both biotic and abiotic factors (including soil texture).","shrubs, grasses, forbs","field study","Above ground biomass of shrubs was greater on coarse- than fine-textured soils, but there were not soil texture differences for forbs, grasses, or total above ground biomass.","No","Mixed","No"
2018,"Tipton, C. Y.; Ocheltree, T. W.; Mueller, K. E.; Turk, P.; Fernandez-Gimenez, M. E.","Revision of a state-êand-êtransition model to include descriptions of state functional attributes","Ecosphere","10.1002/ecs2.2201",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2018,"Zhou, Zhenghu; Wang, Chuankuan; Luo, Yiqi","Response of soil microbial communities to altered precipitation: A global synthesis","Global Ecology and Biogeography","10.1111/geb.12761",1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Ali, Arshad; Lin, Si-Liang; He, Jie-Kun; Kong, Fan-Mao; Yu, Jie-Hua; Jiang, Hai-Sheng","Climatic water availability is the main limiting factor of biotic attributes across large-scale elevational gradients in tropical forests","Science of the Total Environment","10.1016/j.scitotenv.2018.08.140",0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Barnard, David M.; Germino, Matthew J.; Arkle, Robert S.; Bradford, John B.; Duniway, Michael C.; Pilliod, David S.; Pyke, David A.; Shriver, Robert K.; Welty, Justin L.","Soil characteristics are associated with gradients of big sagebrush canopy structure after disturbance","Ecosphere","10.1002/ecs2.2780",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Diaz, Ismael; Achkar, Marcel; Crisci, Carolina; Mazzeo, Nestor","Natural and land-use drivers of primary production in a highly vulnerable region of livestock production (Sierras del Este-Uruguay)","","10.17170/kobra-20190219194",1,1,0,0,0,1,"South America","Compared ANPP across soil types using remote-sensing and soil maps across Uruguay grasslands.","grasses","field study","Higher productivity of grassland on coarser soils during drought (opposite during wet periods).","No","Yes","No"
2019,"Epstein, H. E.; Lauenroth, W. K.; Paruelo, J. M.; Pineiro, G.; Burke, I. C.; Barrett, J. E.","Interactions of Water and Nitrogen on Primary Productivity Across Spatial and Temporal Scales in Grassland and Shrubland Ecosystems","Dryland Ecohydrology","10.1007/1-4020-4260-4_12",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Ji, Wenjie; Hanan, Niall P.; Browning, Dawn M.; Monger, H. Curtis; Peters, Debra P. C.; Bestelmeyer, Brandon T.; Archer, Steve R.; Ross, C. Wade; Lind, Brianna M.; Anchang, Julius; Kumar, Sanath S.; Prihodko, Lara","Constraints on shrub cover and shrub-shrub competition in a U.S. southwest desert","Ecosphere","10.1002/ecs2.2590",1,0,1,0,0,0,"North America","Compared shrub cover across land forms with different soil texture.","shrubs","remote sensing","Shrub cover increased initially with clay content then decreased as percentage clay exceeded 18%.","Yes","Mixed","No"
2019,"Mahgoub, Alaa M. M. A.","Comparative view for the impact of five eco factors on species distribution and weed community structure in Isthmus of Suez and adjoining farmland east Nile delta, Egypt","Heliyon","10.1016/j.heliyon.2019.e02161",0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Osborn, Blake J.; Williams, David G.","Lodgepole pine tree-ring growth, delta 13 C and the inverse texture effect across a soil chronosequence in glacial till","Plant and Soil","10.1007/s11104-019-04243-2",1,1,1,0,0,1,"North America","Compared tree growth across a gradient of soil age and texture.","trees","field study","Growth was slowest on the coarsest-textured soil at this relatively wet site (MAP >800 mm).","No","No","Yes"
2019,"Renne, Rachel R.; Bradford, John B.; Burke, Ingrid C.; Lauenroth, William K.","Soil texture and precipitation seasonality influence plant community structure in North American temperate shrub steppe","Ecology","10.1002/ecy.2824",1,1,1,0,0,1,"North America","Compared plant cover by growth form across gradients of soil texture and precipitation amount and seasonality.","trees, shrubs, grasses, forbs, succulents","field study","ITE was relevant with different functional types, particularly when considering the season of precipitation thought to be most relevant to their growth. ITE was largest when comparing very coarse- to very fine-textured soils.","No","Yes","Yes"
2019,"Sanaei, Anvar; Ali, Arshad","What is the role of perennial plants in semi-steppe rangelands? Direct and indirect effects of perennial on annual plant species","Ecological Indicators","10.1016/j.ecolind.2018.11.008",1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Sanaei, Anvar; Li, Mingshi; Ali, Arshad","Topography, grazing, and soil textures control over rangelands' vegetation quantity and quality","Science of the Total Environment","10.1016/j.scitotenv.2019.134153",1,1,1,0,0,1,"Asia","Compared above ground biomass, cover, and density across elevation, soil texture, and grazing gradients.","shrubs, grasses, forbs","field study","Coarse soils favored shrubs while fine soils favored grasses.","No","Mixed","No"
2019,"Theilmann, Mira Lizabeth","Interactions Between Ecosystem Dynamics On Belowground Microbial Community Capacity Under Semiarid And Arid Conditions","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Thoma, David P.; Munson, Seth M.; Witwicki, Dana L.","Landscape pivot points and responses to water balance in national parks of the southwest US","Journal of Applied Ecology","10.1111/1365-2664.13250",1,1,0,0,0,1,"North America","Compared vegetation production and water balance across vegetation and soil types.","all","remote sensing","Vegetation response to annual precipitation increased with sand content and decreased with clay content at grassland and sagebrush sites, but switch from negative to positive response to annual precipitation increased with clay content and decreased with sand content.","No","Mixed","No"
2019,"Van Der Merwe, Helga; Van Rooyen, Noel; Bezuidenhout, Hugo; Bothma, Jacobus Du P.; Van Rooyen, Margaretha W.","Vachellia erioloba dynamics over 38 years in the Kalahari Gemsbok National Park, South Africa","Koedoe","10.4102/koedoe.v61i1.1534",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Wagner, Svenja","Effects of Water Holding Capacity and Precipitation on Above Ground Net Primary Production","",NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2019,"Whipple, Amy V.; Cobb, Neil S.; Gehring, Catherine A.; Mopper, Susan; Flores-Renteria, Lluvia; Whitham, Thomas G.","Long-term studies reveal differential responses to climate change for trees under soil-or herbivore-related stress","Frontiers in Plant Science","10.3389/fpls.2019.00132",1,0,1,0,0,1,"North America","Compared tree stem growth, male reproduction, and mortality between three soil types during drought.","trees","field study","Trees were less affected by drought on coarse- than fine-textured soils.","No","Yes","No"
2020,"Ali, Arshad; Sanaei, Anvar; Li, Mingshi; Nalivan, Omid Asadi; Ahmadaali, Khaled; Pour, Mohsen Javanmiri; Valipour, Ahmad; Karami, Jalil; Aminpour, Mohammad; Kaboli, Hasan","Impacts of climatic and edaphic factors on the diversity, structure and biomass of species-poor and structurally-complex forests","Science of the total environment","10.1016/j.scitotenv.2019.135719",0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
