"Year","Author","Title","Publication","DOI","Noymeir","Salaetal","IntroductionOrReview","Methods","Results","Discussion","Continent","Approach","Plant types","Type","ITE Results","ITE = Woody plants","Supports ITE","Investigation"
2001,"Fernandez-Illescas, Coral Pilar; Porporato, Amilcare; Laio, Franscesco; Rodriguez-Iturbe, Ignacio","The ecohydrological role of soil texture in a water-êlimited ecosystem","Water Resources Research","10.1029/2000WR000121",1,0,1,0,0,1,"North America","Investigated soil texture and precipitation effects on shrub and grass species in subtropical dryland.","grass, shrub","modeling","Both grasses and trees do better on coarse soils under dry conditions, and this shifts to fine soils as moisture increases. Coarser soils require smaller water inputs to transition from below wilting point to unstressed conditions. Drainage can be greater for shallow- than deep-rooted species, depending on climate and soil.","No","Yes","Yes"
2001,"Laio, Francesco; Porporato, Amilcare; Fernandez-Illescas, C. P.; Rodriguez-Iturbe, I.","Plants in water-controlled ecosystems: active role in hydrologic processes and response to water stress: IV. Discussion of real cases","Advances in Water Resources","10.1016/S0309-1708(01)00007-0",1,0,1,0,0,1,"North America","Investigated how annual precipitation affects stress and favorability to the dominant grass in the shortgrass steppe between wet and dry years across different soil textures.","grass","modeling","Dominant grass is very sensitive to soil texture under dry conditions, and spends less time in stressed conditions on sand than clay or silt loam. Annual precipitation of about 370 mm is the crossover point for grass performance on sand versus other soils.Sensitivity to soil texture decreases under wetter conditions, and it is slighly less stressed on finer soils.","No","Yes","Yes"
2001,"Sala, Osvaldo E.","Productivity of temperate grasslands","Terrestrial global productivity","10.1016/B978-0-12-505290-0.X5000-5",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2002,"Porporato, A.; D'odorico, P.; Laio, Francesco; Ridolfi, Luca; Rodriguez-Iturbe, I.","Ecohydrology of water-controlled ecosystems","Advances in Water Resources","10.1016/S0309-1708(02)00058-1",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Brown, G.; Al-Mazrooei, S.","Rapid vegetation regeneration in a seriously degraded Rhanterium epapposum community in northern Kuwait after 4 years of protection","Journal of environmental management","10.1016/S0301-4797(03)00107-5",1,0,0,0,0,1,"Asia","Compared shrub, grass, and annual plant cover between grazed sites and sites protected from grazing for 4 years.","shrubs, grasses, forbs","field study","Vegetation recovery was much greater on coarse- than fine-textured soils.","No","Yes","No"
2003,"Brown, Gary; Peacock, John; Loughland, Ron; Aldrami, Ghaleb A.","Coastal and terrestrial ecosystem management requirements in the GCC States","Environmental Research and Wildlife Development Agency, Abu Dhabi",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Brown, Karl Eric","Mapping and modeling leafy spurge spread in Theodore Roosevelt National Park, North Dakota using spatial information and spatial statistics","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Martinez, Armando J.; Lopez-Portillo, Jorge","Allometry of Prosopis glandulosa var. torreyana along a topographic gradient in the Chihuahuan desert","Journal of Vegetation Science","10.1111/j.1654-1103.2003.tb02133.x",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2003,"Ogle, Kiona","Desert dogma revisited: Physiological and growth responses of Larrea tridentata (Creosotebush) to annual, seasonal, and pulse precipitation","",NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2004,"Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damian A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","10.1007/s00442-004-1519-1",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2004,"Huxman, Travis E.; Cable, Jessica M.; Ignace, Danielle D.; Eilts, J. Alex; English, Nathan B.; Weltzin, Jake; Williams, David G.","Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture","Oecologia","10.1007/s00442-003-1389-y",1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2004,"Kroel-Dulay, Gyorgy; Odor, Peter; Peters, Debra P. C.; Hochstrasser, Tamara","Distribution of plant species at a biome transition zone in New Mexico","Journal of Vegetation Science","10.1111/j.1654-1103.2004.tb02292.x",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2004,"Suau, Roberto Lazaro","Implications of precipitation on vegetation of water-limited lands","",NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2005,"Fravolini, Alessandra; Hultine, Kevin R.; Brugnoli, Enrico; Gazal, Rico; English, Nathan B.; Williams, David G.","Precipitation pulse use by an invasive woody legume: the role of soil texture and pulse size","Oecologia","10.1007/s00442-005-0078-4",1,0,1,0,0,0,"North America","Compared soil water dynamics after small and large precipitation pulshes between sites with coarse- and fine-textured soils.","tree","field study","Wetting front was deeper on coarse- than fine-textured soil with large (35 mm) and small (10 mm) events. Large events flushed into deeper soil quickly, small events percolated slowly. Water uptake decreased more rapidly on fine-textured soil after large event. Large event was effective for both sites, but small event was much more effective on coarser-textured site.","No","Yes","Yes"
2005,"Tongway, David J.; Ludwig, John A.","Heterogeneity in Arid and Semiarid Lands","Ecosystem Function in Heterogeneous Landscapes","10.1007/0-387-24091-8_10",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2006,"Bradford, John B.; Lauenroth, William K.; Burke, Ingrid C.; Paruelo, Jose M.","The Influence of Climate, Soils, Weather, and Land Use on Primary Production and Biomass Seasonality in the US Great Plains","Ecosystems","10.1007/s10021-004-0164-1",1,1,1,0,0,1,"North America","Compared above and below ground NPP for crops across soil textures in the central grassland region of the U.S.","crops","remote sensing","Higher ANPP on finer-textured soils when both natural and cropped lands are included in the analysis.","No","No","No"
2006,"Cable, Jessica Marie","Precipitation effects on soil carbon cycling in the Sonoran Desert","",NA,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2006,"D'Odorico, Paolo; Porporato, Amilcare","Soil moisture dynamics in water-limited ecosystems","Dryland Ecohydrology","10.1007/1-4020-4260-4_3",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2006,"Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.","Soil respiration in the cold desert environment of the Colorado Plateau (USA): abiotic regulators and thresholds","Biogeochemistry","10.1007/s10533-005-4278-0",1,1,1,0,0,1,"North America","Compared soil moisture and respiration across a soil texture, precipitation, and temperature gradients.","grasses, shrubs","field study","Higher water content in at 30 cm on coarse- than fine-textured soil, but soil respiration and decomposition did not show a consistent relationship with the fraction of silt + clay soil particles.","No","Yes","Yes"
2006,"Kurc, Shirley Anne","Dynamics and controls of ecosystem scale water, carbon, and energy cycling at semiarid grassland and shrubland","",NA,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2006,"Ludwig, Fulco; Jewitt, Rebecca A.; Donovan, Lisa A","Nutrient and water addition effects on day- and night-time conductance and transpiration in a C3 desert annual","Oecologia","10.1007/s00442-006-0367-6",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2006,"Miller, Mark E.; Belnap, Jayne; Beatty, Susan W.; Reynolds, Richard L.","Performance of Bromus tectorum L. in relation to soil properties, water additions, and chemical amendments in calcareous soils of southeastern Utah, USA","Plant and Soil","10.1007/s11104-006-0058-4",1,0,0,0,0,1,"North America","Seedling density and relative growth rates at different seasons were compared across sites with contrasting soil textures with and without watering and nutrient addition.","annual grass","field study","Seasonal differences in soil texture effects: fall establishment was lower on sandy soils, winter growth rates were higher on loamy than on sandy soils, but mid-spring growth rates were lowest on loamy soils.","No","Mixed","No"
2006,"Norris, Jodi R.; Jackson, Stephen T.; Betancourt, Julio L.","Classification tree and minimum-êvolume ellipsoid analyses of the distribution of ponderosa pine in the western USA","Journal of Biogeography","10.1111/j.1365-2699.2005.01396.x",1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Begzsuren, Shurentuya","Integrated desertification assessment in Southern Mongolia","",NA,1,0,1,0,1,1,"Asia","Compared biomass and cover across soils and land degradation categories.","shrubs, grasses","field study","Aboveground biomass and cover were not significantly related to soil sand percentage, but relative importance of functional types suggests coarser sites support more woody vegetation.","No","No","Yes"
2007,"Brown, Gary; Aspinall, Simon; Sakkir, Sabitha","The vegetation of the coastal white sands at Taweela (Abu Dhabi Emirate)","Tribulus",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Bucini, Gabriela; Hanan, Niall P.","A continental-êscale analysis of tree cover in African savannas","Global Ecology and Biogeography","10.1111/j.1466-8238.2007.00325.x",1,1,1,0,0,1,"Africa","Partitioned variation of tree cover into two components: potential vegetation given environmental characteristics and modifications from natural and human-related disturbances.","trees","remote sensing","Fine textured soils had higher tree cover than coarse textured soils throughout the precipitation gradient above 300 mm. No differences below 300 mm.","Yes","No","Yes"
2007,"Buxbaum, C. A. Z.; Vanderbilt, K.","Soil heterogeneity and the distribution of desert and steppe plant species across a desert-grassland ecotone","Journal of Arid Environments","10.1016/j.jaridenv.2006.11.017",1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Collins, D. B. G.; Bras, R. L.","Plant rooting strategies in water-limited ecosystems","Water Resources Research","10.1029/2006WR005541",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Ignace, Danielle D.; Huxman, Travis E.; Weltzin, Jake F.; Williams, David G.","Leaf gas exchange and water status responses of a native and non-native grass to precipitation across contrasting soil surfaces in the Sonoran Desert","Oecologia","10.1007/s00442-007-0670-x",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Miller, M.; Mann, Rebecca K.; Goldstein, Harland; Yount, James D.","Ecological investigations of the federally endangered Shivwits milk-vetch (Astragalus ampullarioides)-2006 annual report","US Geological Survey Open-File Report",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Smart, Alexander J.; Dunn, Barry H.; Johnson, Patricia S.; Xu, Lan; Gates, Roger N.","Using weather data to explain herbage yield on three Great Plains plant communities","Rangeland Ecology & Management","10.2111/05-099R4.1",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2007,"Strohbach, Ben J.; Petersen, Andreas","Vegetation of the central Kavango woodlands in Namibia: An example from the Mile 46 Livestock Development Centre","South African Journal of Botany","10.1016/j.sajb.2007.03.002",1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Cable, Jessica M.; Ogle, Kiona; Williams, David G.; Weltzin, Jake F.; Huxman, Travis E.","Soil texture drives responses of soil respiration to precipitation pulses in the Sonoran Desert: implications for climate change","Ecosystems","10.1007/s10021-008-9172-x",1,0,0,0,0,1,"North America","Compared soil respiration responses to experimental water pulses across soil and cover types.","grasses","field study","Plant respiration was greater on coarse-textured soil and was more sensitive to water additions than on fine-textured soil.","No","Yes","No"
2008,"Grigg, Alasdair M.; Veneklaas, Erik J.; Lambers, Hans","Water relations and mineral nutrition of closely related woody plant species on desert dunes and interdunes","Australian Journal of Botany","10.1071/BT06205",1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Grigg, Alasdair M.; Veneklaas, Erik J.; Lambers, Hans","Water relations and mineral nutrition of Triodia grasses on desert dunes and interdunes","Australian Journal of Botany","10.1071/BT07156",1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Herpel, Nicole","The Scale-Dependent Variability of Topsoil Properties Reflecting Ecosystem Patchiness in Drylands of Southern Africa","",NA,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Ivanov, Valeriy Y.; Bras, Rafael L.; Vivoni, Enrique R.","Vegetation-êhydrology dynamics in complex terrain of semiarid areas: 2. Energy-êwater controls of vegetation spatiotemporal dynamics and topographic niches of favorability","Water Resources Research","10.1029/2006WR005595",1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Knapp, Alan K.; Beier, Claus; Briske, David D.; Classen, Aimee T.; Luo, Yiqi; Reichstein, Markus; Smith, Melinda D.; Smith, Stanley D.; Bell, Jesse E.; Fay, Philip A.","Consequences of more extreme precipitation regimes for terrestrial ecosystems","Bioscience","10.1641/B580908",1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Koechy, Martin","Effects of simulated daily precipitation patterns on annual plant populations depend on life stage and climatic region","BMC Ecology","10.1186/1472-6785-8-4",1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Koenig, Peter Andrew","Gas-exchange responses to pulse rain events by native Hawaiian dry forest vine seedlings and the effect of interaction with a non-native grass","",NA,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"No"
2008,"Lauenroth, William K.; Milchunas, Daniel G.; Sala, Osvaldo E.; Burke, Ingrid C.; Morgan, Jack A.","Net primary production in the shortgrass steppe","Ecology of the shortgrass steppe: a long term perspective. Oxford Univ. Press, NY","10.1093/oso/9780195135824.003.0016",1,1,1,0,0,0,"North America","Compared ANPP across sites in short grass steppe.","all","field study","Slope of relationship between mean annual precipitation and average annual aboveground net primary production is steeper on clay than sand.","No","Yes","Yes"
2008,"Petersen, A.","Pedodiversity of southern African drylands","",NA,1,1,1,0,0,1,"Africa","Compared soil moisture measurements between dune (coarse) and interdune (fine) soils over a period of four months.","trees, shrubs, grasses","field study","Coarse soils were wetter, dried more slowly, and had deeper percolation than fine soils.","No","Yes","Yes"
